Ville,Type,Surface,NbrPieces,NbrChambres,NbrSdb,DPE,Prix
Épinay-sur-Seine,Appartement,66,3,2,1,-,190000
Le Bourget,Maison,100,4,3,2,-,370000
Évry,Appartement,45,2,1,1,-,120000
Champagne-sur-Seine,Maison,80,4,2,1,-,260000
Villeneuve-sur-Bellot,Maison,200,4,2,1,-,140000
Drancy,Appartement,43,2,1,1,-,158000
Sarcelles,Appartement,25,1,1,1,-,86000
Antony,Maison,70,3,1,1,-,460000
Paris 10ème,Maison,250,-,-,-,-,150000
Aubervilliers,Maison,221,4,3,1,-,498000
Grigny,Appartement,75,2,3,1,-,115000
Chelles,Appartement,88,5,3,1,-,190000
Chaville,Appartement,58,3,2,1,-,258000
Ozoir-la-Ferrière,Maison,160,6,4,2,-,445000
Pontault-Combault,Maison,109,5,3,1,-,333000
Chelles,Maison,105,6,4,1,-,272000
Montmorency,Appartement,79,4,2,1,-,235000
Voulangis,Maison,88,4,2,2,-,50000
Solers,Maison,96,5,4,2,-,295000
Saint-Escobille,Appartement,39,2,1,1,-,145000
Villiers-en-Bière,Appartement,73,4,3,1,-,145000
Le Mée-sur-Seine,Appartement,110,6,3,1,-,150000
Paris 20ème,Appartement,108,4,2,1,-,540000
Servon,Appartement,77,4,3,1,-,206000
Paris 1er,Maison,91,1,3,1,-,32300
Paris 6ème,-,-,-,-,-,-,275000
Montigny-lès-Cormeilles,Appartement,47,2,1,1,-,175000
Créteil,Appartement,114,6,3,1,-,240000
Sarcelles,Appartement,85,5,4,1,-,195000
Livry-Gargan,Appartement,50,3,2,1,-,150000
Vulaines-lès-Provins,Maison,118,5,4,2,-,245000
Pontault-Combault,-,-,-,-,-,-,35000
Le Mesnil-le-Roi,Appartement,80,4,2,1,-,369000
Bobigny,Appartement,84,4,3,1,-,269000
Clichy-sous-Bois,Appartement,56,3,2,1,-,120000
Clichy,Appartement,65,3,2,1,-,100000
Clichy,Appartement,65,3,3,1,-,100000
Voulangis,Maison,100,5,3,1,-,280000
Versailles,Appartement,23,1,1,1,-,140000
Sartrouville,-,-,-,-,-,-,65000
Grigny,Appartement,70,4,2,1,-,180000
Neufmoutiers-en-Brie,Maison,100,4,3,1,-,255000
Montfermeil,Maison,130,5,3,2,-,375000
Rosny-sous-Bois,Maison,500,3,7,6,-,1707000
Paris 11ème,Appartement,121,5,4,1,-,780000
Sancy-lès-Provins,Maison,180,8,4,2,-,265000
Sevran,Appartement,30,1,-,1,-,72000
Vémars,Appartement,68,4,3,1,-,155000
Clichy,Appartement,48,2,1,1,-,215000
Émerainville,Maison,90,4,3,1,-,245000
Aulnay-sous-Bois,Appartement,15,1,-,1,-,64000
Roissy-en-Brie,Maison,93,5,3,1,-,235000
Roissy-en-Brie,Maison,93,5,3,1,-,235000
Bobigny,Appartement,59,3,2,1,-,189000
